ability_analysis1;Przeszywaj¹ce spojrzenie;Analiza 15;+10 do rzutów na rozpoznanie oszustwa;1
ability_analysis2;Po³¹cz kropki;Analiza 20;+10 do rzutów analizy przy szukaniu wzorca;2
ability_analysis3;Naukowiec danych;Analiza 15;+10 do rzutów na wyszukiwanie istotnych informacji;1
ability_athletics1;Sprinter;Atletyka 15;2x d³u¿szy zasiêg ruchu podczas sprintu;1
ability_athletics2;¯wawy p³ywak;Atletyka 15;Mo¿e p³ywaæ z podwójn¹ prêdkoœci¹ oraz zatrzymywaæ oddech na dwa razy d³u¿szy czas;1
ability_cyber1;Konstrukcja uk³adów;Cybernetyka 10;Pozwala na konstruowanie prostych urz¹dzeñ elektronicznych i cybernetycznych;1
ability_dipl1;Znajomoœæ kultury;Dyplomacja 10;Znajomoœæ konkretnej kultury u³atwia kontakt z jej przedstawicielami;1
ability_commerce1;Weteran targu;Handel 15, Charyzma 15;+10 do rzutu na Handel podczas targowania siê o cenê;1
ability_commerce2;Towar spod lady;Weteran targu, Handel 20;Wszystkie towary otrzymuj¹ +1 do poziomu dostêpnoœci;2
ability_mech1;Z³ota r¹czka;Mechanika 10;Pozwala na budowanie prostych urz¹dzeñ mechanicznych;1
ability_mech2;Naprawa pojazdów;Mechanika 15;Pozwala na analizê i naprawê prostych pojazdów (speedery);1
ability_med1;Tria¿;Medycyna 10;Mo¿e wykonywaæ proste zabiegi medyczne w warunkach bojowych;1
ability_med2;Wywiad medyczny;Medycyna 15;+10 do testów rozpoznania choroby;1
ability_nav1;Wyczucie kierunku;Nawigacja 15;+10 przy nawigacji w terenie;1
ability_nav2;Astrograf;Nawigacja 15;+10 do nawigacji w przestrzeni kosmicznej;1
ability_nav3;Z nurtem ulicy;Nawigacja 15;+10 do nawigacji w przestrzeni miejskiej;1
ability_comp1;Nieustraszony;Opanowanie 15;+10 do rzutów na strach;1
ability_comp2;Zaprawiony w boju;Opanowanie 15;+10 do rzutów przy ogniu zaporowym;1
ability_comp3;Spokojny umys³;Opanowanie 20;+20 do rzutów odpornoœci na Moce umys³u;2
ability_cheat1;Szuler;Oszustwo 15, Zwinne palce 10;+10 przy oszukiwaniu w grach;1
ability_cheat2;Fa³szerz;Oszustwo 15;+10 podczas podrabiania dokumentów / przedmiotów;1
