ability_analysis1;Przeszywaj¹ce spojrzenie;analysis 15;+10 do rzutów na rozpoznanie oszustwa;1
ability_analysis2;Po³¹cz kropki;analysis 20;+10 do rzutów analizy przy szukaniu wzorca;2
ability_analysis3;Naukowiec danych;analysis 15;+10 do rzutów na wyszukiwanie istotnych informacji;1
ability_athletics1;Sprinter;athletics 15;2x d³u¿szy zasiêg ruchu podczas sprintu;1
ability_athletics2;¯wawy p³ywak;athletics 15;Mo¿e p³ywaæ z podwójn¹ prêdkoœci¹ oraz zatrzymywaæ oddech na dwa razy d³u¿szy czas;1
ability_cyber1;Konstrukcja uk³adów;cybernetics  10;Pozwala na konstruowanie prostych urz¹dzeñ elektronicznych i cybernetycznych;1
ability_dipl1;Znajomoœæ kultury;diplomacy  10;Znajomoœæ konkretnej kultury u³atwia kontakt z jej przedstawicielami;1
ability_commerce1;Weteran targu;commerce 15, charisma 15;+10 do rzutu na Commerce podczas targowania siê o cenê;1
ability_commerce2;Towar spod lady;ability_commerce1, commerce 20;Wszystkie towary otrzymuj¹ +1 do poziomu dostêpnoœci;2
ability_mech1;Z³ota r¹czka;mechanics 10;Pozwala na budowanie prostych urz¹dzeñ mechanicznych;1
ability_mech2;Naprawa pojazdów;mechanics 15;Pozwala na analizê i naprawê prostych pojazdów (speedery);1
ability_med1;Tria¿;medicine 10;Mo¿e wykonywaæ proste zabiegi medyczne w warunkach bojowych;1
ability_med2;Wywiad medyczny;medicine 15;+10 do testów rozpoznania choroby;1
ability_nav1;Wyczucie kierunku;navigation 15;+10 przy nawigacji w terenie;1
ability_nav2;Astrograf;navigation 15;+10 do nawigacji w przestrzeni kosmicznej;1
ability_nav3;Z nurtem ulicy;navigation 15;+10 do nawigacji w przestrzeni miejskiej;1
ability_comp1;Nieustraszony;composition 15;+10 do rzutów na strach;1
ability_comp2;Zaprawiony w boju;composition 15;+10 do rzutów przy ogniu zaporowym;1
ability_comp3;Spokojny umys³;composition 20;+20 do rzutów odpornoœci na Moce umys³u;2
ability_cheat1;Szuler;cheat 15, ability_dexterity1;+10 przy oszukiwaniu w grach;1
ability_cheat2;Fa³szerz;cheat 15;+10 podczas podrabiania dokumentów / przedmiotów;1
ability_cheat3;Klucznik;cheat 25, cybernetics  20, security 20;+20 do testu podrabiania kluczy dostêpu;3
ability_cheat4;K³amstwo w ¿ywe oczy;cheat 10;+10 do próby ok³amania innej postaci;1
ability_cheat5;Kim ty jesteœ?;cheat 15;+10 do próby podszywania siê;2
ability_pilot1;As przestworzy;pilot_spaceships 20;+10 do pilota¿u podczas kierowania ma³ymi statkami kosmicznymi;1
ability_pilot2;Œcigacz;pilot_speeders 10;+20 do pilota¿u podczas wyœcigów lub w warunkach przypominaj¹cych wyœcigi;2
ability_inter1;Dobry glina, z³y glina;interrogation 15;Jeœli iloœæ ludzi przes³uchuj¹cych wynosi 2 lub wiêcej, +10 do przes³uchiwania;1
ability_inter2;Kat;interrogation 15, composition 15;Pozwala na torturowanie przes³uchiwanych, gdzie testowana jest ich resistance i composition;2
ability_inter3;Znane sztuczki;interrogation 10;Postaæ otrzymuje +10 do opanowania podczas bycia przes³uchiwan¹;1
ability_perception1;Koci refleks;perception 15;+10 do testu zaskoczenia;1
ability_perception2;Czu³e ucho;perception 10;+10 do testu pods³uchiwania;1
#ability_ranged_light1;Strzelec wyborowy;ranged_light 15;Podwaja maksymaln¹ odleg³oœæ strza³u lekkimi blasterami;1
ability_ranged_light2;Snajper;ranged_light 15;Podczas celowania nie otrzymujesz kar za celowanie w konkretn¹ czêœæ cia³a;1
ability_ranged_light3;Naznaczony;ranged_light 20;Trafienie przeciwnika daje bonus +10 do kolejnego strza³u w tego samego przeciwnika;1
ability_ranged_light4;Poprawka na wiatr;ranged_light 20;Podczas strzelania na d³ugie dystanse (modyfikator < 0), podczas strzelania do tego samego celu, ka¿dy kolejny strza³ daje modyfikator +10 do testu trafienia, maksymalnie 2 razy.;2
ability_ranged_light5;Strza³ w biegu;ranged_light 20;+10 do testu trafienia podczas strzelania w biegu;2
ability_ranged_light6;Szybki strza³;agility 15, ranged_light 20;W trakcie walki, podczas wyci¹gania blastera mo¿e wykonaæ pojedynczy strza³ za darmo;1
ability_ranged_light7;Rewolwerowiec;ranged_light 30;Mo¿e u¿ywaæ dwóch blasterów naraz bez kary;3
ability_ranged_light8;Praca na spuœcie;ranged_light 25;Pozwala na wystrzelenie wiêcej ni¿ jednego pocisku w trakcie tury;3
ability_ranged_light9;Strza³ z biodra;ranged_light 25;Kara za strzelanie bez celowania wynosi -10 zamiast -30;3
ability_ranged_light10;Wstrzymanie oddechu;ranged_light 20;+5 do strza³u na odleg³oœci dalekie;2
ability_ranged_heavy1;Lob;ranged_heavy 15, agility 10;+10 do trafienia przy u¿yciu granatów (granatniki równie¿);1
ability_ranged_heavy2;Ruchoma forteca;ranged_heavy 10, strength 20;Pozwala na wykonanie strza³u w trakcie ruchu z u¿yciem broni ciê¿kiej;2
ability_ranged_heavy3;Skupienie ognia;ranged_heavy 20;Zwiêksza szansê na trafienie podczas u¿ywania ognia automatycznego o 5;1
ability_ranged_heavy4;G³owy w dó³;ranged_heavy 15;Ogieñ zaporowy zwiêksza trudnoœæ testu opanowania o 1;1
ability_ranged_heavy5;Czu³y punkt;ranged_heavy 20;Bezpoœrednie trafienie rakiet¹ otrzymuje dodatkowe 2 PP;2
ability_ranged_stationary1;Mechaniczne ruchy;ranged_stationary 10;Czas potrzebny na rozstawienie i uruchomienie dzia³ka stacjonarnego skrócony do 2 rund;1
ability_survival1;£owca;survival 10;+15 do spostrzegawczoœci podczas œledzenia zwierzyny;1
ability_survival2;Kucharz;survival 10;Pozwala na stworzenie wytrzyma³ych racji ¿ywnoœciowych z podstawowego po¿ywienia;1
ability_survival3;Traper;survival 15;Pozwala na zak³adanie trudnych do wykrycia pu³apek;2
